name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128
Allotopus_moellenkampi,-0.0821771,-0.105265691,-0.002230697,0.072143366,0.042703294,-0.017101477,0.009607132,0.01134041,0.01580279,-0.01269875,-0.00842208,-0.00172654,-0.015303626,0.009487611,0.008344672,-0.001436477,4.75E-05,0.004526925,0.008261122,-0.001489133,-0.006805073,0.007563819,-0.005843205,-0.000979048,0.004459915,-0.004452653,0.000487546,0.001593492,0.001564894,-0.001130587,0.001874977,0.002404023,-0.002498459,0.000682105,0.001626282,-0.000145754,-0.00194427,0.000725469,0.000713764,0.00136556,0.002364833,-0.000444645,-0.000533665,0.001054227,-0.000539846,0.000331419,-0.000475134,0.002248741,-0.000126392,0.00057318,0.001359911,-0.000266425,-0.00073983,0.000284355,-0.000412161,-8.78E-05,0.001244001,0.000165272,0.001594811,-0.000415206,-0.000188199,-0.000343824,-0.000692682,0.000558951,0.000338266,0.000940516,0.000592084,-0.000459096,0.000331739,0.00012327,-0.000335497,0.000191368,-0.000309001,-0.000609061,0.000659333,-0.000135798,-0.000285616,0.000570593,0.000188059,-0.000578321,0.000107425,-0.000502597,0.000336024,-0.000225692,2.99E-05,-0.000192777,0.000216746,0.000460704,8.38E-08,0.000239432,-9.10E-06,-7.33E-05,-0.000325224,-3.80E-05,5.07E-05,-0.000124169,9.76E-05,4.15E-05,-4.45E-05,7.67E-05,-9.87E-05,-4.35E-05,-8.06E-05,-9.11E-05,-4.50E-06,0.000143585,-0.000137314,0.000121436,0.000113859,-2.44E-05,-6.00E-05,-1.65E-05,-7.43E-05,-0.000129194,8.61E-06,-3.52E-05,-9.64E-05,1.52E-05,-5.49E-05,7.68E-06,4.80E-05,2.31E-05,-3.56E-06,-6.13E-05,-7.67E-06,-1.81E-17,-5.82E-19,-2.75E-19
Allotopus_rosenbergi,-0.137362419,-0.185799945,-0.025820353,-0.009750932,-0.01066253,-0.02967091,-0.038971579,-0.007381328,0.025690266,0.005382583,-0.018023747,0.006066542,-0.022085444,0.019892846,0.014982044,-0.00701925,0.010277754,-0.007156971,-0.015966617,-0.008736573,-0.00243897,-0.007742821,0.000158734,-0.002466401,0.000759389,0.002830544,0.00171474,-0.000351761,-0.000798277,0.005432473,0.000857356,0.00037244,-0.000970211,0.002401524,0.001873372,0.001825011,0.000939921,0.001388387,0.00277858,0.002223243,0.000399588,-0.0023447,0.001145059,0.001249958,-0.002305501,0.00038925,-0.001373801,-0.000553342,0.003131212,0.000459317,-0.000747394,0.000329303,0.000836242,-2.80E-05,0.000295027,0.000176473,-0.000417875,0.00026304,-0.000376434,0.000397774,0.000167367,-0.000947841,3.86E-05,-0.00126168,-0.000321045,0.000771298,-0.001236617,-0.000253944,0.000697177,-0.000620807,-0.000352612,-0.000686322,0.000940526,-0.00028518,-0.000862985,0.001330375,0.000438159,2.07E-06,-4.51E-05,0.000888446,-0.001289167,0.000415242,-0.000403982,3.01E-05,0.000731611,0.00028303,-1.11E-05,-0.00034201,-0.000375059,0.000280233,-5.80E-05,-0.000872451,0.000705024,-0.000720292,-0.000123878,-0.000128802,-0.000188367,3.09E-05,-0.000434616,-0.000122725,0.000439512,-0.000147823,-5.69E-05,0.000102111,6.18E-05,-0.000222842,0.000163893,0.00025044,5.10E-05,5.00E-05,0.000396478,7.10E-05,0.000163818,3.65E-06,0.00011998,7.87E-05,-0.00019957,-1.46E-05,-6.33E-05,0.000206168,-2.96E-05,0.000119308,3.22E-05,0.000105854,-9.49E-06,-4.82E-18,1.18E-18,-1.42E-17
Auxicerus_platyceps,-0.128031652,-0.036918392,0.031869491,-0.007951923,-0.023051303,-0.031802039,-0.013676349,-0.002352161,0.002491409,0.027997304,-0.013424684,-0.009169246,-0.002644546,0.000707983,0.003375999,0.002920717,0.011475807,-0.009164374,0.007412968,0.001540578,0.001677516,-0.000481174,0.005465094,-0.008413969,-0.004442562,0.004833584,0.004015066,0.002409568,-6.35E-07,-0.002784585,-0.003252914,0.002707253,-0.004300272,-0.002421793,0.00017092,0.000916748,0.001556712,-0.000659588,-0.001206642,-0.002129283,-0.000334662,0.000609841,-0.00223931,0.001227443,-0.001376786,-0.001616449,-0.0008161,-0.002215261,-0.000302661,-0.001966302,-0.001177879,-0.001022423,7.97E-05,-0.000656417,0.000799638,-0.001071651,-0.001505443,0.000155726,-0.000818449,-0.000891982,-0.000280426,0.000850341,-0.000570613,0.00073772,-0.000457259,-0.000778359,0.001403432,0.000250201,-0.000723381,-6.47E-05,0.000236969,0.000336757,-0.000199383,-0.000697057,0.000905099,-0.000697035,0.000285322,0.000372871,0.000724742,-0.000555415,0.000661035,-0.000279065,-0.000493901,1.38E-08,-0.000240463,-0.000539029,3.17E-05,-0.000180485,0.000272037,-0.000347867,0.000304645,0.000114872,1.10E-05,-0.000385989,-8.58E-05,-0.000145774,5.23E-05,0.000623385,0.000132595,-0.000109994,8.16E-05,-7.61E-05,1.55E-05,-2.34E-05,0.000178888,2.14E-05,4.24E-05,-7.69E-05,2.13E-05,0.000307514,-7.64E-05,-0.000175767,3.34E-05,0.000115502,-0.000176499,0.000121738,2.69E-05,-0.000116169,6.33E-05,-2.04E-05,-5.45E-05,-0.00018812,-2.27E-05,0.00011486,-5.86E-05,1.84E-17,1.63E-18,2.21E-18
Calcodes_aeratus,0.07040557,0.209847814,-0.050694627,0.01535156,0.014912139,-0.027482215,0.014801221,-0.003375798,0.016049524,0.006922582,-0.017861621,-0.008414919,0.021384211,0.008496949,-0.003899571,-0.014365542,-0.005931335,0.003467818,0.013175061,-0.003072708,-0.000982522,0.000749788,0.00250998,0.000731095,-0.005302344,0.003777911,0.002887772,-0.002624211,0.000140654,0.000677944,-0.001200034,-0.003466353,0.001516961,-0.000976551,0.00260911,-0.001391347,0.001613641,-0.000323865,0.001676932,0.000746788,0.002275148,-0.001645314,0.001474363,0.000254191,0.000121717,0.000226057,-0.000547378,0.00028697,-0.000425995,-0.000926157,0.000900024,-0.001068249,0.000710862,0.000442584,1.35E-05,-0.000275317,0.000113361,-3.69E-05,-0.000330449,-0.000688949,-0.000146746,-9.72E-05,0.000610514,-0.000376801,0.000940052,8.89E-05,0.000411549,5.82E-05,0.000593586,-0.000128736,-3.64E-05,-4.52E-06,-5.75E-05,-0.000408896,-0.000144681,-2.82E-05,-0.000273693,2.19E-06,-0.000182074,3.76E-06,-1.58E-05,-7.96E-05,-0.000324324,-7.76E-05,0.000198285,-0.000227494,9.29E-05,1.73E-05,-3.88E-05,-0.000198828,0.000117948,-5.10E-05,6.60E-05,-3.10E-05,3.40E-05,2.36E-05,-0.000118987,-3.01E-05,-0.000194123,0.000102996,3.27E-05,1.07E-06,-8.64E-05,2.81E-05,5.89E-05,-0.000151729,0.000122018,0.000151233,4.84E-05,-9.24E-05,0.000117518,-3.15E-06,4.20E-05,-5.79E-05,0.000109225,-1.05E-05,4.49E-05,-8.44E-06,-1.39E-05,7.51E-05,2.61E-05,4.10E-05,-1.44E-05,-7.88E-06,-3.45E-05,-5.51E-19,7.30E-19,2.08E-17
Chiasognathus_grantii,0.169334363,-0.101645954,0.036362201,-0.02625524,-0.024754551,-0.000638872,0.013060403,-0.009248244,-0.00155707,-0.020490865,0.011320522,0.002271033,-0.012350905,0.001705177,-0.000888207,-0.004961112,-0.009687711,0.00607521,0.008234239,0.003453773,-0.003499679,0.003882515,0.00685878,-0.000246908,-0.000502303,0.007482542,-0.006995527,0.002868856,-0.00097491,0.004425734,-0.000644804,-0.000333684,0.001997462,-0.000294181,0.001061912,-0.002120826,-0.000682142,-4.76E-05,0.000537195,-1.29E-05,4.56E-05,0.000375512,0.000518465,-0.000356597,-0.001135176,0.00148038,-2.39E-05,-0.000620509,-0.000414897,0.000273433,0.000679994,-6.02E-05,-0.000579437,9.16E-05,-2.48E-05,-0.000593633,0.000176499,-0.000753197,-0.000328566,-0.000571598,0.000397455,-0.000411212,0.000585014,0.000757436,0.00019689,-0.00030804,-0.000430282,0.000639727,-0.000686908,-0.000277221,-0.000835485,-0.000572678,6.85E-05,0.000251243,0.000718068,0.000104952,0.000334768,0.000344021,0.000165157,-5.03E-05,-0.000287682,0.000514182,0.000329496,-9.59E-05,-0.000251683,6.61E-05,0.000221544,-0.000250258,-0.000106113,-0.000262897,0.000195465,4.28E-05,-0.000307745,-0.000126286,7.86E-05,0.000173033,4.95E-05,0.000193164,0.000108219,7.07E-05,0.000255824,0.000141926,-2.17E-05,-4.81E-05,6.48E-06,2.64E-05,7.25E-05,5.23E-05,0.000120274,3.40E-05,-1.91E-05,-8.18E-05,5.99E-05,7.33E-05,9.35E-05,5.97E-05,4.76E-05,6.79E-07,4.39E-05,-3.43E-05,-2.90E-05,1.77E-05,8.26E-05,-9.56E-06,2.80E-05,-1.06E-17,-1.79E-19,-2.74E-17
Cyclommatus_metallifer,0.124386139,-0.008393245,0.036915481,-0.066347363,0.051170158,-0.041533193,0.028645218,0.003120114,0.00318393,-0.027048101,-0.024539948,0.00553946,0.001335791,-0.011473577,-0.010071352,-0.003353997,-0.003805383,-0.016859778,-0.002805049,0.007400998,-0.001450522,-0.006032647,0.000775172,-0.002230654,0.007609021,-0.002442462,0.002323224,-0.001871519,0.000814447,0.001580873,0.002816704,0.000417535,-0.002069364,0.002474107,-0.001162099,-0.000366134,-3.61E-05,9.57E-05,-0.000139453,-0.000753504,-0.000232594,-0.000409232,-0.000867732,0.000303454,-0.002008825,0.000232906,0.000973642,0.001180915,-0.000356421,0.000393924,-0.001068994,-0.000175237,0.000252148,0.000432503,0.000714048,0.000521711,-0.001048871,-8.20E-05,-0.000257455,4.36E-05,-0.000412392,0.0004132,-0.000174925,-3.71E-07,0.000189362,-0.000243051,-0.000140533,0.000184744,0.000306569,0.000231787,0.000330345,0.000329789,-0.000384884,0.000571935,-0.000419747,-1.51E-05,0.000443117,-0.000260439,0.000341453,1.29E-05,2.10E-05,0.000162431,-5.36E-05,0.000122698,0.000139283,-1.49E-05,-0.000263563,-0.000174626,-0.000199336,4.51E-05,-0.000224663,0.000134506,0.00013673,0.000111503,3.72E-05,4.43E-05,8.37E-05,-3.99E-05,9.57E-05,1.25E-05,-8.45E-05,-0.00016648,-6.41E-06,6.02E-06,-2.27E-06,-5.76E-05,-9.78E-05,9.09E-06,8.99E-06,2.95E-05,-1.64E-05,1.59E-05,6.48E-07,-9.40E-06,-6.05E-05,3.86E-05,1.53E-05,-1.82E-05,-3.72E-07,-1.66E-05,-3.03E-05,1.45E-05,-2.48E-05,-8.29E-06,-2.03E-06,-8.54E-18,-1.37E-18,-2.54E-17
Hemisodorcus_rubrofemoratus,0.042737958,0.037525587,-0.03800637,0.06368385,-0.03149068,0.012211665,-0.020686992,-0.028839639,0.025701029,-0.01096391,0.004136027,-0.010280809,-0.002617677,-0.024552952,-0.003828734,-0.002650299,-0.004755995,-0.008809722,-0.007053715,-0.000492233,-0.004726439,0.000617657,-0.009219145,0.002331799,0.003831701,0.00450427,-0.001512994,0.000157818,-0.003502154,0.000982653,-0.000729941,0.002037286,0.00066795,0.000487921,-0.004088142,0.000747486,0.001312063,4.58E-05,0.000975954,-0.000496566,0.000769292,-0.001986041,-0.001189774,-4.37E-05,0.000655774,-0.001611515,0.000382864,-0.001379662,0.000928211,0.000275609,0.000403409,-0.000811677,0.000433168,-0.000578277,-0.001156646,8.09E-05,0.000108054,-0.000571333,-0.000494152,0.000608959,4.46E-05,0.000870031,0.000259697,-0.000240172,0.000663691,2.63E-05,0.000361951,0.000427691,-0.000655968,0.000376093,-2.25E-05,-2.72E-05,9.96E-05,-0.00053416,0.000187835,-0.000353237,-7.63E-05,-0.000426628,-4.33E-05,8.29E-06,6.94E-05,-5.08E-05,0.000525252,-0.000379205,-0.000244955,-0.000150508,0.000374483,0.000307194,-0.000408558,3.98E-05,-0.000159581,7.77E-05,0.000106818,-0.000221539,1.52E-05,0.000133619,9.37E-06,-0.000114182,-0.000242708,-0.000133006,1.57E-05,-8.49E-06,0.000131866,1.40E-05,1.28E-05,-2.28E-05,-7.45E-05,-4.10E-05,-9.64E-05,-4.98E-05,0.000104857,-3.59E-05,5.48E-05,7.29E-05,6.65E-06,3.53E-05,3.23E-05,2.16E-05,-3.14E-05,4.85E-05,-7.76E-05,-8.13E-06,1.07E-06,1.54E-05,1.70E-05,7.72E-18,-3.36E-19,1.48E-17
Dorcus_titanus,-0.042889465,0.04684285,-0.048742706,0.028963712,-0.005168406,-0.05776165,-0.005039784,0.022940837,-0.007208168,-0.001793708,0.007736391,0.006994718,0.014833704,0.003138372,-0.001331376,0.012391558,0.001605665,-0.007032031,-0.001605791,0.000492025,0.000450383,0.008902022,-0.001386262,-0.003590444,0.000942486,0.002940365,-0.00277658,-0.000248637,0.000759892,0.002334837,0.000500633,0.000989683,0.002550578,-0.001091962,-0.001656869,0.00362269,0.000869158,-0.001715074,0.001546196,0.00020564,-0.000566091,0.000566366,0.000275962,-0.002500465,0.00056973,0.000348543,8.67E-05,-0.000900737,0.000501487,0.000247137,0.00069754,0.000912476,-8.36E-05,-0.000421459,-0.000586741,0.000362854,0.000216659,0.000577582,-0.000662277,0.000200872,0.000395029,-0.000909408,0.000385169,0.001137423,-0.000912826,-0.00032251,-0.000613115,-0.000459178,0.000404139,-0.000450718,-4.91E-05,-0.000103555,6.35E-05,0.000802549,0.000691523,0.000429887,-0.000576576,8.98E-06,0.000163553,-0.000115093,-0.000447659,0.000311699,-0.000102718,0.000175113,9.36E-05,0.000189352,0.000147146,-6.89E-05,0.00022302,8.45E-05,-0.000140707,0.000156541,0.000119388,-0.000105757,-3.39E-05,-0.000381296,-7.13E-05,0.000272002,0.000213413,1.28E-06,-6.59E-05,0.00021687,-2.50E-05,-0.00017991,-0.000176081,-1.29E-05,3.90E-06,-0.000182806,5.26E-05,-4.85E-05,-0.000107014,7.25E-05,-0.000165556,5.04E-05,-0.000154651,-3.48E-05,-0.000133407,-5.80E-05,8.28E-05,2.80E-05,4.36E-05,-3.34E-06,2.95E-05,6.62E-06,4.35E-05,-6.17E-18,-1.06E-18,6.86E-18
Dorcus_tityus,0.026729263,-0.032850204,0.060873744,0.005981183,0.008865277,-0.0214234,-0.005317527,-0.007193544,0.005805191,0.004319396,-0.023696772,0.008204559,-0.011641376,-0.014625487,-0.011707322,0.005603985,-0.001316494,0.011406982,-0.000744494,-0.003140325,0.009519349,0.004884144,-0.001246636,0.003828608,-0.006221934,-0.002429799,-0.000660178,0.000602069,-0.005016427,-0.003485357,0.001395244,0.000462574,0.001892284,-0.00351272,-0.001644616,-0.000419401,-0.000184431,-0.000948844,-0.00102147,-0.001398501,-0.001218158,0.001471698,-0.000604251,-0.001768187,-0.000775309,-0.00211559,-0.000319381,-0.000619326,-0.000129542,0.000612657,0.000105714,-0.000369687,-0.000247273,0.000134191,0.000607542,0.000714441,-0.000490206,0.000196705,-0.000394441,-0.000182058,0.000510991,-0.000920334,-0.000441206,-0.000880205,0.000138422,5.93E-05,-0.000230341,-0.00113155,0.000889651,0.000144395,-0.000217548,-0.000242354,-5.73E-05,0.000243042,0.000189114,0.000117221,4.49E-05,-2.81E-05,-0.00048439,0.000135483,9.35E-05,-0.000428422,9.99E-05,-5.58E-05,8.78E-05,0.000328124,0.000131642,-1.95E-05,7.99E-05,-0.000123012,5.20E-05,-8.44E-05,6.68E-05,0.000123828,-0.00013671,-4.72E-05,-0.000205509,-8.92E-05,-0.000125984,7.17E-05,0.00011943,3.23E-05,0.000361944,0.000200007,-9.77E-05,0.000146634,-4.78E-05,-9.85E-05,6.49E-05,7.09E-05,-1.02E-05,-5.03E-05,-1.34E-05,4.02E-05,1.98E-05,-2.46E-05,5.00E-05,-5.52E-05,5.08E-05,3.36E-05,4.23E-05,-8.62E-05,1.90E-05,7.64E-06,9.33E-06,2.00E-17,-8.33E-19,-1.35E-17
Gnaphalorynx_opacus,-0.047647045,-0.01667996,0.062743522,-0.002998458,0.032714955,-0.002634334,-0.030734242,-0.013618565,0.005262018,0.013290201,0.00589759,-0.008512551,0.004177266,0.000582061,-0.005199745,0.00781758,-0.002426666,0.000180729,0.000324296,-0.004765674,0.009352204,0.003613495,-0.004554997,0.004005891,0.003574091,-0.006337622,-0.002705095,0.002523874,0.001784493,-0.004397324,0.005104335,-0.000461843,-0.000841173,0.001513158,0.001088176,-0.001658555,0.00165651,-0.001312756,-0.000751257,0.003665317,0.000274039,0.001597813,0.000574179,0.000390037,0.000639424,0.00147447,-0.001658179,-0.000239579,0.000308136,-0.000973604,0.000207694,0.000941052,0.00041713,-0.000188658,-0.000372379,0.000435503,0.000216361,0.000302864,-0.000355345,0.000329526,0.000201855,7.91E-05,0.000939116,0.000770989,0.000144545,-0.000419574,-0.000554318,0.000473733,-0.000382271,-0.000183072,0.00044803,-4.99E-06,5.25E-05,-0.000142814,6.63E-05,-0.00035575,0.000100342,0.000115129,-7.80E-05,0.000268663,0.000139598,0.000592621,-0.000275451,0.000197345,0.000231727,-0.000250187,-1.41E-06,-0.000672403,-0.000294018,-0.000384409,6.95E-06,0.000244099,-0.00011837,-1.68E-05,0.000271689,0.000220489,0.000373463,-1.86E-05,0.000123066,0.000211006,-0.000144165,-6.13E-05,-9.04E-05,5.98E-05,0.000127854,-0.000318524,-7.97E-05,9.78E-05,9.71E-05,-0.00011549,0.000174595,-8.76E-05,6.95E-05,0.000138434,7.17E-05,-1.63E-05,3.54E-05,-2.81E-05,3.28E-05,-0.000114877,7.72E-05,8.05E-05,-1.93E-05,-2.59E-06,-5.25E-06,-1.31E-17,-1.76E-18,-1.15E-17
Hexarthrius_mandibularis,0.114900579,0.014800432,-0.06781248,0.018245342,0.054541312,-0.004494936,-0.00844779,-0.030229899,-0.000682767,0.014851728,0.023269715,-0.005214955,-0.014539661,-0.003915535,-0.002939284,-0.006804479,0.004619935,0.012790362,-0.003416976,-0.001889472,0.004354416,-0.006058807,0.006343658,-0.004362335,0.00208848,0.000333834,-0.001213312,-0.001331849,0.00108315,0.002708757,-0.002182998,-0.005007635,-0.001119403,0.000310266,0.002242362,0.00413786,-0.000291498,0.000764671,-0.000152038,0.000415539,-1.71E-05,-0.000991794,-0.00070847,-0.001575085,-0.00074563,-0.000320054,0.000161448,0.001891785,0.000200833,-0.000469996,-0.000135928,0.000560721,-5.12E-05,0.000457167,-5.20E-05,0.000191861,0.000423991,0.000161895,-0.000978495,-0.000289936,0.000148237,0.000592156,-0.000635885,-0.000299911,-0.000104029,-9.12E-05,0.000306286,8.37E-05,-1.94E-05,0.000505724,5.57E-05,-0.00025027,1.81E-05,0.000131751,-0.000328916,-0.000250997,0.000433114,5.12E-05,-0.000199958,8.48E-05,-1.50E-05,-2.68E-05,0.000270894,-8.36E-05,-0.000219776,0.00020524,0.000109176,0.000177386,0.000219401,0.000311652,-0.000207986,-9.34E-05,-0.000265581,-0.000111889,-0.000142662,-5.14E-05,7.11E-05,-7.71E-05,0.00023661,-0.000166278,-1.70E-05,0.000174983,-3.04E-05,-6.17E-05,-8.19E-05,9.16E-05,4.18E-05,-8.20E-05,-0.000106961,5.32E-05,-0.000161954,8.46E-05,1.96E-05,2.07E-05,-4.27E-05,-2.57E-06,-2.60E-05,1.61E-05,5.52E-06,-3.13E-06,3.65E-05,-9.13E-05,7.42E-06,4.78E-05,-8.33E-05,-9.09E-18,-8.82E-19,8.24E-18
Homoderus_gladiator,-0.077616498,0.158082585,0.040430663,0.032875348,-0.030312237,0.019710193,0.004466866,0.04040461,-0.016871148,-0.018261205,-0.005205048,0.003407749,-0.018373543,-0.007703919,0.010344085,-0.006334485,0.004517901,0.005784131,-0.003067474,8.14E-05,0.000808888,-0.003906543,-1.43E-05,-0.002587965,-0.002958204,2.60E-05,-0.000539388,-0.001743374,0.003008628,0.00397207,0.003853778,0.00178859,5.69E-05,0.001392985,-0.000818224,-0.000169474,0.001232338,-0.000286059,-0.000500598,0.000506999,-0.000930391,-3.17E-05,-0.00090683,0.001369268,0.000373468,-0.001243017,-0.000891451,0.000344066,6.98E-05,0.001222419,0.00022434,-0.000292257,-0.000399663,0.000363032,0.000491109,0.000333888,-0.000211975,-0.000260091,-0.000335484,0.000610618,-0.000404547,-0.000339204,-0.000526915,8.31E-05,0.00030067,-9.91E-05,-0.00015387,0.000606623,0.000195259,0.000160511,-3.38E-05,0.000104879,2.69E-05,0.000321968,-3.74E-05,-0.0001043,-0.000306831,2.71E-05,-0.000100296,0.000242862,-0.000147804,0.00012561,3.78E-05,5.96E-05,1.03E-05,0.000124413,8.69E-05,-0.000261635,0.000140135,-0.00013533,3.55E-05,3.79E-05,-8.47E-05,0.000165581,2.35E-05,0.00011433,0.000201175,-4.77E-05,6.55E-05,-0.000179174,-3.71E-05,0.000123102,-0.000175971,-3.78E-05,-2.80E-05,-0.000160301,-1.08E-05,6.09E-05,7.93E-06,-3.12E-05,-0.000107103,-0.000107114,0.000114094,8.53E-05,4.79E-05,3.94E-05,2.68E-05,-1.23E-05,-5.56E-05,-4.44E-05,4.59E-05,-4.96E-06,-3.80E-05,5.34E-05,1.67E-05,3.24E-18,-4.66E-19,1.98E-17
