Scientific_name,Female_plumage_score,Male_plumage_score,Body_size_ppca
Paradisaea_apoda,50.55555556,56.52777778,2.379395802
Paradisaea_decora,47.22222222,57.91666667,NA
Paradisaea_guilielmi,53.33333333,47.91666667,2.334366805
Paradisaea_minor,60.97222222,56.25,2.28103563
Paradisaea_raggiana,54.58333333,62.22222222,2.499820621
Paradisaea_rubra,54.16666667,51.25,2.139375473
Paradisaea_rudolphi,63.33333333,67.63888889,1.99289349
Lycocorax_pyrrhopterus,65,63.47222222,2.67458675
Manucodia_ater,62.5,64.02777778,2.384966688
Manucodia_chalybatus,61.80555556,62.36111111,2.295867338
Manucodia_comrii,66.11111111,70.27777778,3.089011251
Manucodia_jobiensis,61.11111111,59.72222222,2.237944168
Manucodia_keraudrenii,62.22222222,64.16666667,2.052883954
Paradigalla_brevicauda,63.05555556,62.5,2.009502367
Paradigalla_carunculata,64.30555556,63.47222222,NA
Astrapia_mayeri,63.33333333,59.58333333,2.002769697
Astrapia_nigra,60.13888889,60.55555556,NA
Astrapia_rothschildi,65.13888889,60.13888889,2.22883825
Astrapia_splendidissima,61.94444444,66.52777778,NA
Astrapia_stephaniae,62.08333333,64.30555556,1.959798378
Parotia_carolae,42.91666667,48.33333333,NA
Parotia_lawesii,54.16666667,54.16666667,1.89594543
Parotia_sefilata,51.52777778,60.55555556,NA
Parotia_wahnesi,48.75,54.16666667,1.953022609
Pteridophora_alberti,46.38888889,61.94444444,1.221508791
Lophorina_superba,54.16666667,65.83333333,1.28296049
Ptiloris_magnificus,42.63888889,68.61111111,2.071238949
Ptiloris_paradiseus,40,65.55555556,1.776320009
Ptiloris_victoriae,43.19444444,66.80555556,1.436166933
Epimachus_albertisi,43.33333333,52.22222222,1.70004628
Epimachus_bruijni,45.69444444,54.72222222,NA
Epimachus_fastuosus,50.41666667,71.25,NA
Epimachus_meyeri,55.41666667,63.61111111,2.313508764
Cicinnurus_respublica,48.33333333,61.52777778,NA
Cicinnurus_regius,39.30555556,68.19444444,0.675995766
Semioptera_wallacii,41.11111111,44.44444444,1.896512598
Seleucidis_melanoleucus,55.97222222,65.83333333,2.111819342