species,Female_dewlap_area,Male_dewlap_area,SVL,Sexual_dimorphism_in_dewlap_area_(natural_logged),Sexual_size_dimorphism_(SVL),Sexual_Dichromatism_(chromatic_contrast),Sexual_Dichromatism_(achromatic_contrast),Female_dewlap_chromatic_contrast,Male_dewlap_chromatic_contrast,Female_dewlap_achromatic_contrast,Male_dewlap_achromatic_contrast,light_level_(AUC_-_natural_logged)
Draco_bimaculatus,0.10072085,0.16380322,66.4,-1.2392056,1.022727273,-2.972905861,24.68468577,7.75383324,2.431303576,25.73997394,26.10510476,2.471821195
Draco_cornutus,-0.2083723,-0.3259396,80.37,-1.2096826,0.95566455,6.68122452,1.13877151,3.29173477,4.94802853,14.4727521,19.3992722,5.23978413
Draco_formosus,0.49820046,0.25256921,104.345,-0.946893995,1.076388889,6.251451244,-8.343107497,5.360007499,2.99295506,17.44091339,11.10265702,4.951778931
Draco_haematopogon,-0.21027607,-0.09051997,87.875,-0.663605637,0.941558442,6.737277478,15.90207613,5.822759826,3.688582794,10.18438522,19.36842531,4.807535151
Draco_melanopogon,0.12544017,-0.2095956,84,-1.0888526,0.9583106,5.54066043,44.3069566,3.21649828,5.02777141,10.9292726,31.985911,2.09630995
Draco_obscurus,0.31694731,0.27048166,89,-1.244605796,1.1,1.195197835,-7.73881976,4.035870363,2.835091316,12.41517334,15.76332004,4.14254393
Draco_quinquefasciatus,-0.49455727,-0.50946987,100.085,-1.161348595,1.033530572,14.62913084,11.32203482,4.015189142,11.90262004,15.39575354,26.31994611,4.761076486
Draco_reticulatus,0.05025278,0.10743142,80.78,-0.874745776,1.03030303,1.344571948,-19.58394656,2.852462602,1.402190556,12.89570041,11.58656517,5.833714532
Draco_spilopterus,0.10095672,0.39123951,87.02,-0.37225092,1.02739726,-4.032877044,6.094261218,5.963981966,0.648164221,21.38359973,23.75983647,5.947364774
Draco_sumatranus,-0.0981731,0.12486941,79.32,-0.8841873,0.99851376,-6.5894229,2.8398258,6.24563347,0.78067946,21.6349822,29.2710654,6.13072644