species,ceratobranchial.length,HHo,SVL
Saara_hardwickii,1.07,166,214
Leiolepis_triploida,1.72,142,148
Hypsilurus_dilophus,59.15,90,220
Moloch_horridus,1.22,138,94.84
Physignathus_cocincinus,2.64,112,158.74
Ctenophorus_maculatus,1.81,121,59
Amphibolurus_muricatus,2.66,142,82
Acanthocercus_atricollis,3.32,117,129.62
Trapelus_agilis,5.06,129,116
Agama_agama,4.3,113,91
Japalura_flaviceps,4.88,123,86
Draco_melanopogon,19.27,92,84
Gonocephalus_robinsoni,15.71,135,152
Bronchocela_cristatella,6.1,107,120
Calotes_emma,8.51,111,107.7
Salea_anamallayana,5.08,130,111
Acanthosaura_crucigera,5.76,128,103
Otocryptis_wiegmanni,77,122,77
Sitana_ponticeriana,40.29,118,51.07
Pseudocalotes_brevipes,3.92,117,54.8
Stenocercus_guentheri,3.44,125,96
Uranoscodon_superciliosus,3.44,143,133.32775
Dipsosaurus_dorsalis,2.09,137,119.75
Brachylophus_fasciatus,6.15,152,159.83
Leiocephalus_barahonensis,3.47,122,53.92
Gambelia_wislizenii,0.96,133,109.5
Crotaphytus_collaris,3.4,131,91.465
Uma_scoparia,5.02,123,86.65
Phrynosoma_platyrhinos,2.4,102,81.36
Petrosaurus_mearnsi,2.39,119,94.225
Uta_stansburiana,2.33,101,47.09
Sceloporus_variabilis,3.34,114,55.29
Polychrus_marmoratus,5.33,115,142
Enyalioides_laticeps,3.2,118,135.515
Chalarodon_madagascariensis,3.49,143,84.335
Oplurus_cyclurus,2.9,132,135.25
Urostrophus_vautieri,1.02,117,92
Pristidactylus_torquatus,2.23,132,95
Leiosaurus_catamarcensis,1.5,109,120
Phymaturus_palluma,0.74,121,95.3
Corytophanes_cristatus,16.67,142,111
Basiliscus_basiliscus,4.51,141,165.37
Anolis_lineatopus,21.16,177,41.8
Anolis_poncensis,8.65,148,48